,mase,mape,smape
deepar,1.1251579999999999,0.32314099999999996,0.264075
timemixer,1.030826,0.28549,0.238555
snaive,1.027975,0.290094,0.264031
ets,0.9172299999999999,0.25685399999999997,0.23224599999999998
arima,0.9145880000000001,0.265845,0.23452
tsmixer,0.9129740000000003,0.26793700000000004,0.224092
theta,0.902854,0.25544100000000003,0.22258799999999998
prophet,0.8999469999999999,0.24087400000000003,0.21865299999999993
tbats,0.8882779999999998,0.249627,0.21849400000000002
nhits,0.835467,0.24418199999999998,0.20749700000000004
nbeats,0.8220040000000002,0.24485200000000001,0.20588800000000002
patchtst,0.7954500000000002,0.230824,0.20091799999999999
